Fallnummer,Aktivität,Zeitstempel,Ausführende Person,Kosten (EUR),Kunde,Transportiertes Gut,Produktpreis (EUR),Abnahmeort,Abgabeort
001,Kunden-Daten abfragen (automatische Übertragung ins System),2024-03-04 19:37:25,Sophia Lang,"7,9",Daimler AG,Produkt J,"75,0",Lager I,Lager I
001,Bestellung im System eintragen,2024-03-04 19:52:25,Sophia Lang,"7,27",Daimler AG,Produkt J,"75,0",Lager E,Lager C
001,Lagerbestand überprüfen,2024-03-04 20:30:25,Lena Mueller,"2,97",Daimler AG,Produkt J,"75,0",Lager C,Lager C
001,Auftragsabwicklung im System starten,2024-03-04 20:36:25,Timo Wagner,"9,25",Daimler AG,Produkt J,"75,0",Lager E,Lager J
001,Artikel zusammenstellen,2024-03-04 20:39:25,Laura Fischer,"3,52",Daimler AG,Produkt J,"75,0",Lager B,Lager D
001,Versicherungs-Bescheinigung dazulegen,2024-03-04 20:59:25,Nico Schmidt,"11,12",Daimler AG,Produkt J,"75,0",Lager D,Lager E
001,Ware verpacken,2024-03-04 21:39:25,Sophia Lang,"3,06",Daimler AG,Produkt J,"75,0",Lager B,Lager D
001,Gewicht prüfen,2024-03-04 21:43:25,Laura Fischer,"2,33",Daimler AG,Produkt J,"75,0",Lager H,Lager J
001,Anzahl der Artikel überprüfen,2024-03-04 22:25:25,Timo Wagner,"2,86",Daimler AG,Produkt J,"75,0",Lager B,Lager A
001,Verpackung prüfen,2024-03-04 23:04:25,Lisa Schulz,"3,32",Daimler AG,Produkt J,"75,0",Lager H,Lager F
001,Paket zur Warenausgabe bringen,2024-03-04 23:45:25,Paul Zimmer,"7,83",Daimler AG,Produkt J,"75,0",Lager E,Lager A
001,Paket an Kunde übergeben,2024-03-05 00:22:25,Jan Becker,"7,06",Daimler AG,Produkt J,"75,0",Lager D,Lager A
001,Bestellstatus im System ändern,2024-03-05 00:31:25,Jan Becker,"2,1",Daimler AG,Produkt J,"75,0",Lager G,Lager A
002,Kunden-Daten aufnehmen,2024-03-04 19:37:25,Nico Schmidt,"2,09",BASF,Produkt H,"130,0",Lager I,Lager G
002,Kunden-Daten in System übertragen,2024-03-04 19:50:25,Hannah Meyer,"2,27",BASF,Produkt H,"130,0",Lager F,Lager J
002,Zahlvorgang abschließen,2024-03-04 20:26:25,Hannah Meyer,"3,34",BASF,Produkt H,"130,0",Lager C,Lager G
002,Bestellung im System eintragen,2024-03-04 20:50:25,Emma Weber,"6,95",BASF,Produkt H,"130,0",Lager I,Lager A
002,Lagerbestand überprüfen,2024-03-04 20:57:25,Mia Schmitt,"2,04",BASF,Produkt H,"130,0",Lager J,Lager G
002,Auftragsabwicklung im System starten,2024-03-04 21:27:25,Lisa Mueller,"5,76",BASF,Produkt H,"130,0",Lager I,Lager H
002,Artikel zusammenstellen,2024-03-04 21:38:25,Emilia Wagner,"2,05",BASF,Produkt H,"130,0",Lager A,Lager D
002,Ware verpacken,2024-03-04 21:40:25,Mia Schmitt,"4,2",BASF,Produkt H,"130,0",Lager F,Lager B
002,Gewicht prüfen,2024-03-04 22:33:25,Hannah Meyer,"1,13",BASF,Produkt H,"130,0",Lager I,Lager J
002,Anzahl der Artikel überprüfen,2024-03-04 23:23:25,David Meyer,"2,34",BASF,Produkt H,"130,0",Lager C,Lager I
002,Verpackung prüfen,2024-03-04 23:48:25,Jan Becker,"6,6",BASF,Produkt H,"130,0",Lager J,Lager C
002,Paket zur Warenausgabe bringen,2024-03-05 00:00:25,Hannah Meyer,"5,19",BASF,Produkt H,"130,0",Lager I,Lager F
002,Zahlungsabwicklung durchführen,2024-03-05 00:43:25,Max Mustermann,"10,81",BASF,Produkt H,"130,0",Lager E,Lager A
002,Paket an Kunde übergeben,2024-03-05 01:16:25,David Meyer,"6,25",BASF,Produkt H,"130,0",Lager D,Lager H
002,Bestellstatus im System ändern,2024-03-05 01:41:25,David Meyer,"2,11",BASF,Produkt H,"130,0",Lager H,Lager E
003,Kunden-Daten aufnehmen,2024-03-04 19:37:25,David Meyer,"1,27",General Electric,Produkt B,"120,0",Lager C,Lager B
003,Kunden-Daten in System übertragen,2024-03-04 20:00:25,Lisa Mueller,"2,51",General Electric,Produkt B,"120,0",Lager C,Lager G
003,Zahlvorgang abschließen,2024-03-04 20:39:25,Nico Schmidt,"3,8",General Electric,Produkt B,"120,0",Lager C,Lager G
003,Bestellung im System eintragen,2024-03-04 21:23:25,Laura Fischer,"6,59",General Electric,Produkt B,"120,0",Lager B,Lager I
003,Lagerbestand überprüfen,2024-03-04 22:09:25,Max Mustermann,"2,27",General Electric,Produkt B,"120,0",Lager H,Lager E
003,Auftragsabwicklung im System starten,2024-03-04 22:59:25,Timo Wagner,"7,41",General Electric,Produkt B,"120,0",Lager J,Lager B
003,Artikel zusammenstellen,2024-03-04 23:05:25,Paul Zimmer,"2,09",General Electric,Produkt B,"120,0",Lager E,Lager F
